id,hotel_name,marks,city,satisfaction,reviews,price,distances,descriptions,stars,breakfast
0,"Radisson Blu Royal Hotel, Bergen",8.2,Bergenhus,Very Good,7620,574,0.6,Standard Room,4,Not included
1,Moxy Bergen,8.3,Årstad,Very Good,2170,554,1.6,"Standard, Guest room, 1 Queen",3,Breakfast included
2,Citybox Bergen City,8.1,Bergenhus,Very Good,5861,444,0.6,Single Room,3,Not included
3,Fabryka,7.7,Bergenhus,Good,407,184,0.35,Budget Single Room,0,Not included
4,Comfort Hotel Bergen,8,Bergenhus,Very Good,730,466,0.6,Standard Double Room,3,Breakfast included
5,Citybox Bergen Danmarksplass,8.4,Årstad,Very Good,2935,340,2,Single Room,3,Not included
6,Det Hanseatiske Hotel,8.2,Bergenhus,Very Good,2825,1111,0.35,Junior Suite,4,Breakfast included
7,Magic Hotel Xhibition,7.2,Bergenhus,Good,1180,466,0.1,Single Room,3,Not included
8,Thon Hotel Orion,8.4,Bergenhus,Very Good,837,465,0.7,Standard Double Room,4,Breakfast included
9,Magic Hotel Korskirken,7.5,Bergenhus,Good,1106,533,0.25,Small Double Room - Atrium,4,Breakfast included
10,Annehelenes B&B,8.9,Bergenhus,Excellent,183,334,0.7,Small Double Room,0,Not included
11,Bergen Hostel Montana,8.4,Årstad,Very Good,2336,160,3.3,Bed in 4-Bed Mixed Dormitory Room,0,Breakfast included
12,Zander K Hotel,8.1,Bergenhus,Very Good,5482,565,0.7,Standard Queen Room,4,Breakfast included
13,Quality Hotel Edvard Grieg,7.9,Ytrebygda,Good,909,574,11.3,Double Room,4,Breakfast included
14,Magic Hotel & Apartments Kløverhuset,7.3,Bergenhus,Good,953,667,0.15,Apartment,4,Not included
15,Thon Hotel Rosenkrantz Bergen,8.6,Bergenhus,Excellent,386,511,0.45,"Small Double Room 9-11 mq - suggested for 1 person,",4,Breakfast included
16,Augustin Hotel,7.4,Bergenhus,Good,3572,450,0.5,Standard Single Room,3,Breakfast included
17,Clarion Hotel Bergen,8.1,Bergenhus,Very Good,1231,631,0.4,Standard Single Room,4,Breakfast included
18,Hotel Park Bergen,8.6,Bergenhus,Excellent,611,574,0.7,Single Room,3,Breakfast included
19,Bergen Børs Hotel,8.4,Bergenhus,Very Good,2472,666,0.1,Standard Single Room,5,Breakfast included
20,Hotel Norge by Scandic,8.3,Bergenhus,Very Good,2191,755,0.15,Single Room,5,Breakfast included
21,"Thon Hotel Bristol, Bergen",8.5,Bergenhus,Very Good,266,551,0.1,Standard Double Room,4,Not included
22,Scandic Byparken,7.6,Bergenhus,Good,1738,513,0.3,Standard Single Room,4,Breakfast included
23,Hordaheimen Hotel,6.9,Bergenhus,Review score,510,458,0.45,Economy Room,3,Breakfast included
24,"Bergen Harbour Hotel, WorldHotels Crafted",8.3,Bergenhus,Very Good,686,448,0.4,Economy Single Room,4,Breakfast included
25,Zagreb Speeka,8.1,LowerTown,Very Good,690,106,0.45,Bed in 4-Bed Dormitory Room,0,Not included
26,Timeout Heritage Hotel Zagreb,7.7,LowerTown,Good,2688,228,0.3,Family Room with City View,4,Not included
27,The Westin Zagreb,8.2,LowerTown,Very Good,2568,500,1.1,"Deluxe Queen Non Smoking, Guest room, 1 Queen, City view",5,Not included
28,HI Hostel Zagreb,6.8,LowerTown,Review score,2059,78,0.8,Single Bed in 6-Bed Dormitory Room,0,Not included
29,Dormir Apartments,9.3,Zagreb,Wonderful,222,211,1.9,Apartment with Balcony,3,Not included
30,Funk Lounge Hostel,8.1,Maksimir,Very Good,1245,83,2.3,Single Bed in 4-Bed Dormitory Room,0,Not included
31,Chillout Hostel Zagreb,8.5,LowerTown,Very Good,1089,63,0.35,Single Bed in 6-Bed Dormitory Room,0,Not included
32,MANDA Heritage Hotel,9.2,LowerTown,Wonderful,1285,336,0.5,Standard King Room,0,Not included
33,Neno,7.8,Maksimir,Good,446,94,2.1,Double Room,0,Not included
34,Sheraton Zagreb Hotel,8.7,LowerTown,Excellent,3041,524,0.8,"Deluxe Queen Non Smoking, Guest room, 1 Queen",5,Not included
35,Piccolo Apartments,8.7,LowerTown,Excellent,653,263,0.8,Deluxe Studio,3,Not included
36,Hotel Dubrovnik,8.8,LowerTown,Excellent,3667,500,0.1,Standard Single Room,4,Breakfast included
37,Main Square Hostel,8.4,UpperTown–Medvescak,Very Good,1749,90,0.1,Bed in 8-Bed Mixed Dormitory Room,0,Breakfast included
38,Hotel Meridijan16,8.2,Zagreb,Very Good,1723,336,2,Single Room,3,Breakfast included
39,Hotel International,8.8,Zagreb,Excellent,3079,439,1.6,Classic Double or Twin Room,4,Not included
40,Art Hotel Like,7.9,LowerTown,Good,2633,283,0.5,Superior Single Room,3,Not included
41,Swanky Mint Hostel,8.7,LowerTown,Excellent,1389,118,0.7,Bunk Bed in 11-Bed Dormitory Room,0,Not included
42,Admiral Hotel,9.2,Jarun,Wonderful,2377,668,5,Single Room,4,Breakfast included
43,Hotel Central,8.1,LowerTown,Very Good,3114,345,0.9,Comfort Single Room,3,Breakfast included
44,Casablanca Boutique Bed&Breakfast,9.2,LowerTown,Wonderful,1078,313,1.2,Single Room,3,Breakfast included
45,Hotel Croatia,8.9,UpperTown–Medvescak,Excellent,465,304,1.8,Twin Room,3,Not included
46,Hotel PARK 45,9.1,LowerTown,Wonderful,2184,524,0.7,Standard Single Room,4,Breakfast included
47,Canopy by Hilton Zagreb City Centre,9,LowerTown,Wonderful,1827,430,1,Standard King Room,4,Not included
48,Rooms Zagreb 17,9.3,UpperTown–Medvescak,Wonderful,544,253,0.25,Comfort Double Room,4,Not included
49,Guest House Ilicki Plac,9.7,ZagrebCityCentre,Exceptional,98,188,1,Studio with Balcony,3,Not included
50,Hotel 9,9,Zagreb,Wonderful,1631,477,1.8,Standard Double Room,4,Not included
51,Studio Villa Antunovac,8.7,Zagreb,Excellent,501,211,2.3,Queen Studio,3,Not included
52,Canopy by Hilton Zagreb City Centre,9,LowerTown,Wonderful,1827,430,1,Standard King Room,4,Not included
53,Rooms Lara,9,Zagreb,Wonderful,132,158,2.9,Double Room,3,Not included
54,Rooms Zagreb 17,9.3,UpperTown–Medvescak,Wonderful,544,253,0.25,Comfort Double Room,4,Not included
55,DoubleTree by Hilton Zagreb,8.8,Zagreb,Excellent,3326,467,2.3,King Guest Room,5,Not included
56,Neno,7.8,Maksimir,Good,446,94,2.1,Double Room,0,Not included
57,Hostel Bureau,8.3,LowerTown,Very Good,2146,94,0.45,Bed in 8-Bed Mixed Dormitory Room,0,Not included
58,B&B Cool Centre Zagreb,8.8,LowerTown,Excellent,949,244,0.3,Standard Double Room,4,Not included
59,Apartments Lucky Place 2,9,LowerTown,Wonderful,906,235,1,Studio,2,Not included
60,Mickey Mouse & Studio Mini,8.9,LowerTown,Excellent,405,244,0.15,Studio,3,Not included
61,WOODY - Your Sleep Oasis in Zagreb,9.3,LowerTown,Wonderful,109,235,0.5,Studio Apartment,3,Not included
62,Hilton Garden Inn Zagreb - Radni?ka,8.8,Zagreb,Excellent,2074,406,1.9,King Room,4,Not included
63,Hedonistic room Zagreb Center,10,LowerTown,Exceptional,1,201,1,Standard Double Room with Shared Bathroom,0,Not included
64,The Loop Hotel,8.8,Zagreb,Excellent,1049,398,2.8,Superior Double Room,3,Breakfast included
65,Hotel AS,9,UpperTown–Medvescak,Wonderful,441,430,1.6,Single Deluxe,4,Breakfast included
66,Chez Ria,9.2,UpperTown–Medvescak,Wonderful,126,253,0.5,One-Bedroom Apartment,3,Not included
67,Apartment Lana,8.1,LowerTown,Very Good,910,164,0.6,Double Room with Shared Bathroom,0,Not included
68,Hotel Dubrovnik,8.8,LowerTown,Excellent,3667,462,0.1,Standard Single Room,4,Breakfast included
69,Hotel 9,9,Zagreb,Wonderful,1631,477,1.8,Standard Double Room,4,Not included
70,Hotel Academia,8.8,UpperTown–Medvescak,Excellent,1934,481,0.7,Twin Room,4,Breakfast included
71,Livris Hotel,9.2,Zagreb,Wonderful,1442,313,2.3,Budget Single Room,4,Breakfast included
72,Premium Class Apartments II,9.3,LowerTown,Wonderful,78,328,0.05,One-Bedroom Apartment,4,Not included
73,King Tomislav Square Studio Apartments,0,LowerTown,Not calified,0,171,0.7,Studio Apartment,0,Not included
74,The Dots Hostel,9.2,LowerTown,Wonderful,565,235,0.45,Single Room with Shared Bathroom,0,Not included
75,At queens,9.1,LowerTown,Wonderful,1027,222,0.7,Superior Apartment,3,Not included
76,The Loop Hotel,8.8,Zagreb,Excellent,1049,398,2.8,Superior Double Room,3,Breakfast included
77,Hotel AS,9,UpperTown–Medvescak,Wonderful,441,430,1.6,Single Deluxe,4,Breakfast included
78,Chez Ria,9.2,UpperTown–Medvescak,Wonderful,126,253,0.5,One-Bedroom Apartment,3,Not included
79,WOODY - Your Sleep Oasis in Zagreb,9.3,LowerTown,Wonderful,109,235,0.5,Studio Apartment,3,Not included
80,Bumblebee Luxury Apartments,9.5,LowerTown,Exceptional,513,413,0.6,One-Bedroom Apartment,4,Not included
81,Main Square Modern Apartments,9.4,LowerTown,Wonderful,473,258,0.3,Studio Apartment,4,Not included
82,LOOX serviced apartments Hatzova,9.3,LowerTown,Wonderful,443,328,0.7,Studio Apartment,3,Not included
83,B&B Foti?,8.9,LowerTown,Excellent,354,401,0.4,Studio,4,Breakfast included
84,Premium Class Apartments II,9.3,LowerTown,Wonderful,78,328,0.05,One-Bedroom Apartment,4,Not included
85,B&B Schlosser,8.7,LowerTown,Excellent,894,430,0.5,Double Room with Private Bathroom,4,Breakfast included
86,Apartments Lucky Place 2,9,LowerTown,Wonderful,906,235,1,Studio,2,Not included
87,"Naomi app,Netflix,between bus and train station",9.3,LowerTown,Wonderful,46,205,0.9,One-Bedroom Apartment,3,Not included
88,Annie's Bed&Breakfast,9.2,LowerTown,Wonderful,1301,383,0.9,Double Room with Private Bathroom,4,Breakfast included
89,Apartment Nirvana,9.3,Zagreb,Wonderful,161,197,2,Apartment - Ground Floor,3,Not included
90,Guest House Nokturno,7.9,UpperTown–Medvescak,Good,715,150,0.2,Quadruple Room,3,Not included
91,Rooms Lidija,9.3,UpperTown–Medvescak,Wonderful,232,197,1.4,Standard Single Room,3,Not included
92,Hotel Jadran,8.5,LowerTown,Very Good,1951,341,0.6,Double Room,3,Not included
93,Hotel Jarun,9.4,Jarun,Wonderful,1348,493,4.4,Double Room,3,Not included
94,Hotel Capital,9.4,LowerTown,Wonderful,515,826,0.4,Superior Double or Twin Room with Atrium View,4,Not included
95,Garden Hotel,7.9,LowerTown,Good,2821,355,1.2,Economy Double Room,4,Not included
96,Apartments Lucky Place,9.1,LowerTown,Wonderful,639,282,1,Studio with Double Bed,2,Not included
97,Mickey Mouse & Studio Mini,8.9,LowerTown,Excellent,405,244,0.15,Studio,3,Not included
98,At queens,9.1,LowerTown,Wonderful,1027,222,0.7,Superior Apartment,3,Not included
99,Livris Hotel,9.2,Zagreb,Wonderful,1442,313,2.3,Budget Single Room,4,Breakfast included
100,Bed & Breakfast Sky City Center,9.5,LowerTown,Exceptional,937,501,0.1,Double Room with Courtyard View,4,Breakfast included
101,Palmers Lodge Hostel,7.8,LowerTown,Good,513,130,1,Bed in 4-Bed Female Dormitory Room,0,Not included
102,B&B Dolac,9.4,LowerTown,Wonderful,243,477,0.05,Double Room with Private Bathroom,4,Breakfast included
103,King Tomislav Square Studio Apartments,0,LowerTown,Not calified,0,171,0.7,Studio Apartment,0,Not included
104,Bumblebee Luxury Apartments 2,9.4,LowerTown,Wonderful,274,469,0.6,One-Bedroom Apartment,3,Not included
105,Chez Ria,9.2,UpperTown–Medvescak,Wonderful,126,253,0.5,One-Bedroom Apartment,3,Not included
106,Rooms at Zaj?eva 34,9.4,Maksimir,Wonderful,1595,369,1.8,Superior Twin Room with City View,3,Not included
107,B&B Fontana,9.1,LowerTown,Wonderful,929,430,0.5,Double Room with Private Bathroom,4,Breakfast included
108,A8 b&b,9.5,LowerTown,Exceptional,195,477,0.3,Double Room,4,Breakfast included
109,Grand Bells Bed And Breakfast,8.8,UpperTown–Medvescak,Excellent,793,383,0.35,Deluxe Double Room with Extra Bed,3,Breakfast included
110,Mickey Mouse Supilova 24,9.5,Zagreb,Exceptional,259,244,1.9,Superior Apartment,3,Not included
111,WOODY - Your Sleep Oasis in Zagreb,9.3,LowerTown,Wonderful,109,235,0.5,Studio Apartment,3,Not included
112,Fusion Apartments,8.5,LowerTown,Very Good,43,282,0.3,One-Bedroom Apartment,4,Not included
113,Zagreb City Vibe Apartments & Rooms,8.1,LowerTown,Very Good,485,282,0.5,Double or Twin Room with City View,4,Not included
114,Hostel IN Club,8.7,Zagreb,Excellent,345,188,5.6,Single Room with Shared Bathroom,0,Not included
115,Maksimir-Rebro,9.1,Maksimir,Wonderful,394,235,3,Apartment - Ground Floor,3,Not included
116,Apartmani Arena Zagreb,9.2,NoviZagreb,Wonderful,234,169,5.1,One-Bedroom Apartment,3,Not included
117,Hotel National,8.5,Zagreb,Very Good,1174,383,1.8,Budget Double Room,3,Not included
118,Apartments Lisinski,9.4,Zagreb,Wonderful,1005,200,1.5,Studio Apartment,3,Not included
119,MonikaRooms,9.3,Zagreb,Wonderful,331,225,2.6,Twin Room with Private Bathroom,3,Not included
120,Apartman DOWNTOWN DL,9.5,UpperTown–Medvescak,Exceptional,185,385,0.05,One-Bedroom Apartment,4,Not included
121,Centar Guesthouse,8.6,LowerTown,Excellent,402,216,0.7,Quadruple Room,3,Not included
122,TOMISLAV,8.2,Zagreb,Very Good,497,141,2.2,Twin Room,0,Not included
123,MINT BOUTIQUE STUDIO APARTMENTs II,9.7,LowerTown,Exceptional,309,513,1,Deluxe Studio,4,Not included
124,Rooms Eliza,7.8,LowerTown,Good,240,188,1.3,Quadruple Room with Private External Bathroom,2,Not included
125,Tia Apartments and Rooms,8.2,LowerTown,Very Good,394,305,0.9,Standard Twin Room,4,Not included
126,Apartman Grand,9.1,Zagreb,Wonderful,171,244,2.7,One-Bedroom Apartment,3,Not included
127,City Center Main Square Apartments Zagreb,9.6,LowerTown,Exceptional,341,338,0.5,Studio with Balcony,4,Not included
128,"APARTMENT "" Studio Green """,8.8,Zagreb,Excellent,151,177,2.4,One-Bedroom Apartment,3,Not included
129,Four Roses,8.8,NoviZagreb,Excellent,150,220,5.2,Deluxe Double Room with Shower,3,Not included
130,Main Square Modern Apartments,9.4,LowerTown,Wonderful,473,258,0.3,Studio Apartment,4,Not included
131,Zagreb Spin&Fly,9.3,LowerTown,Wonderful,645,357,0.6,Studio Apartment,4,Not included
132,Dobar san,8.1,Zagreb,Very Good,74,141,4.9,Apartment - Ground Floor,3,Not included
133,Peace near the city center,9.5,UpperTown–Medvescak,Exceptional,16,228,1.6,One-Bedroom Apartment,3,Not included
134,St. Marks Apartment 2,8.6,UpperTown–Medvescak,Excellent,108,235,0.5,Studio Apartment,4,Not included
135,Elenas Rooms & Apartment,9.4,LowerTown,Wonderful,883,375,0.35,Deluxe Double Room,4,Not included
136,LOOX serviced apartments Hatzova,9.3,LowerTown,Wonderful,443,328,0.7,Studio Apartment,3,Not included
137,Villa Zoki - soba dnevni najam,9.1,Zagreb,Wonderful,121,151,5.5,Deluxe Double or Twin Room,3,Not included
138,Random Room,9.1,Zagreb,Wonderful,194,141,8.2,Double Room,3,Not included
139,Marinac Apartment,8.1,UpperTown–Medvescak,Very Good,58,235,0.15,Studio Apartment,3,Not included
140,B&B Concept,8.8,LowerTown,Excellent,764,477,0.9,Double Room with Private Bathroom,4,Breakfast included
141,Apartment Gollner,9.6,LowerTown,Exceptional,126,258,0.45,One-Bedroom Apartment,3,Not included
142,Artissimo Apartments,9.5,LowerTown,Exceptional,105,258,0.5,Studio Apartment,3,Not included
143,Luxury Attic,9.6,Zagreb,Exceptional,118,305,5.8,Deluxe Studio,3,Not included
144,MKR Family Room,9,LowerTown,Wonderful,276,291,0.15,Studio Apartment,3,Not included
145,MM House,8.8,Zagreb,Excellent,377,399,4.8,Double Room with Balcony,4,Breakfast included
146,Enter Rooms,8.9,Zagreb,Excellent,49,324,2,Double Room with Private Bathroom,0,Not included
147,INFINITY CENTAR Zagreb,9.4,LowerTown,Wonderful,181,328,0.4,Deluxe Double Room,4,Not included
148,Apartments ZAGREB TALES,9.2,LowerTown,Wonderful,229,244,0.7,One-Bedroom Apartment,3,Not included
149,Zagreb Sleep & Eat,9.3,LowerTown,Wonderful,634,444,0.4,One-Bedroom Apartment,4,Not included
150,Houzzz21,8.7,Maksimir,Excellent,378,160,3.4,Standard Double Room with Shared Bathroom,4,Not included
151,Dežman Luxury Center,9.1,LowerTown,Wonderful,692,469,0.6,Deluxe Double Room,4,Not included
152,Hotel Forty Two,8.2,Zagreb,Very Good,1998,375,3.3,Standard Double Room (2 Adults),3,Breakfast included
153,Rooms XXL,6.6,NoviZagreb,Review score,372,235,3.9,Triple Room,3,Not included
154,Studio Apartments City&style,9.4,LowerTown,Wonderful,282,352,0.7,Deluxe King Studio,4,Not included
155,DTA Hebrangova,9,LowerTown,Wonderful,211,239,0.5,Studio,3,Not included
156,HAPPY,7.7,LowerTown,Good,38,232,1.1,One-Bedroom Apartment,3,Not included
157,At queens,9.1,LowerTown,Wonderful,1027,222,0.7,Superior Apartment,3,Not included
158,Apartments S&A,9.1,UpperTown–Medvescak,Wonderful,27,328,0.5,One-Bedroom Apartment,4,Not included
159,Go2Zagreb,9.1,Zagreb,Wonderful,15,469,1.1,Superior Apartment,0,Not included
160,Fusion Apartments,8.5,LowerTown,Very Good,43,282,0.3,One-Bedroom Apartment,4,Not included
161,Apartment Gollner,9.6,LowerTown,Exceptional,126,258,0.45,One-Bedroom Apartment,3,Not included
162,MKR Family Room,9,LowerTown,Wonderful,276,291,0.15,Studio Apartment,3,Not included
163,Apartment Nirvana,9.3,Zagreb,Wonderful,161,197,2,Apartment - Ground Floor,3,Not included
164,Zagreb Centar Apartman 90m2,9,Zagreb,Wonderful,67,296,2.3,Two-Bedroom Apartment,3,Breakfast included
165,Rooms at Zaj?eva 34,9.4,Maksimir,Wonderful,1595,369,1.8,Superior Twin Room with City View,3,Not included
166,Random Room,9.1,Zagreb,Wonderful,194,141,8.2,Double Room,3,Not included
167,Villa Zrina,8.4,Zagreb,Very Good,333,263,2,Single Room,3,Not included
168,Dalija apartman,9.4,Zagreb,Wonderful,29,235,7.1,Apartment,3,Not included
169,Hotel Fala,8,Zagreb,Very Good,1561,307,2.2,Economy Double Room,2,Not included
170,Apartman Grand,9.1,Zagreb,Wonderful,171,244,2.7,One-Bedroom Apartment,3,Not included
171,ParkLife Zagreb Apartments,9.7,LowerTown,Exceptional,122,780,1.3,Duplex Apartment with Park View,4,Not included
172,DesignDistrict Apartments,8.7,LowerTown,Excellent,240,422,0.9,Studio Apartment,3,Not included
173,The Place Apartments Hebrangova,8.8,LowerTown,Excellent,247,557,0.6,Deluxe King Room,4,Not included
174,Botanical garden,8.9,LowerTown,Excellent,76,263,1.2,One-Bedroom Apartment,3,Not included
175,Momo's Studio Apartment Zagreb,9,Zagreb,Wonderful,139,230,1.7,Apartment,3,Not included
176,City Center Main Square Apartments Zagreb,9.6,LowerTown,Exceptional,341,338,0.5,Studio,4,Not included
177,Maksimir-Rebro,9.1,Maksimir,Wonderful,394,235,3,Apartment - Ground Floor,3,Not included
178,Lusso Zagreb,7.9,UpperTown–Medvescak,Good,96,253,1.4,Studio Apartment,3,Not included
179,Hostel Centar,7.7,UpperTown–Medvescak,Good,237,247,0.2,Twin Room with Shared Bathroom,0,Not included
180,Hotel AS,9,UpperTown–Medvescak,Wonderful,441,477,1.6,Deluxe Double or Twin Room,4,Breakfast included
181,Boutique Cimer,8.7,LowerTown,Excellent,3,235,0.9,Deluxe Queen Room,4,Not included
182,Mickey Mouse & Studio Mini,8.9,LowerTown,Excellent,405,244,0.15,Studio,3,Not included
183,Flexible SelfCheckIns 13 & 14 - Le Petit & Le Grand Zagreb - Centre - New - Apartments Repinc,8.4,Zagreb,Very Good,102,296,1.8,Studio Apartment Le Petit,3,Not included
184,City Centre Dream place,9.2,LowerTown,Wonderful,382,425,0.5,Studio Apartment,4,Not included
185,Apartmani Nighty Night,9.5,Zagreb,Exceptional,123,277,1.9,Double Room - Non-Smoking,4,Not included
186,Aurea City Center Apartment Zagreb,9.4,LowerTown,Wonderful,31,366,0.35,Studio Apartment,4,Not included
187,ParkLife Zagreb Apartments,9.7,LowerTown,Exceptional,122,780,1.3,Duplex Apartment with Park View,4,Not included
188,Apartments Lucky Place,9.1,LowerTown,Wonderful,639,282,1,Studio with Double Bed,2,Not included
189,Hotel Puntijar,8.9,Zagreb,Excellent,598,360,4.2,Superior Twin Room,4,Breakfast included
190,Lugarnica,8.5,Zagreb,Very Good,239,296,7.3,Double Room,3,Not included
191,JUPITER Apartment Zagreb Centar,9.2,LowerTown,Wonderful,32,328,0.8,One-Bedroom Apartment,3,Not included
192,Leptir,8.9,Zagreb,Excellent,314,214,3,Twin Room,0,Not included
193,Bona Fide Main Square Designer Apartments,9.8,LowerTown,Exceptional,44,511,0.3,One-Bedroom Apartment,3,Not included
194,Celic Art Apartments,8.2,Zagreb,Very Good,637,235,3.6,One-Bedroom Apartment,2,Not included
195,Hotel Blue,8.2,Zagreb,Very Good,1857,431,2.1,Standard Triple Room Street Entrance Ground Floor,4,Not included
196,Zagreb Centar Apartman 90m2,9,Zagreb,Wonderful,67,296,2.3,Two-Bedroom Apartment,3,Breakfast included
197,Citylux Apartments,9.4,LowerTown,Wonderful,300,352,1.1,Studio Apartment,3,Not included
198,Villa Zrina,8.4,Zagreb,Very Good,333,263,2,Single Room,3,Not included
199,Guesthouse Lessi,8.3,UpperTown–Medvescak,Very Good,326,267,0.2,Comfort Triple Room,3,Not included
200,Octagon Main Square Apartment,9,LowerTown,Wonderful,100,282,0.2,Luxury One-Bedroom Apartment,4,Not included
201,Zagreb center free parking,9,LowerTown,Wonderful,153,328,1.2,One-Bedroom Apartment,3,Not included
202,Carolina,8.7,NoviZagreb,Excellent,103,188,4.6,Apartment,3,Not included
203,At queens,9.1,LowerTown,Wonderful,1027,222,0.7,Superior Apartment,3,Not included
204,Zagreb Sleep & Eat,9.3,LowerTown,Wonderful,634,444,0.4,One-Bedroom Apartment,4,Not included
205,Studio Ami,8.8,LowerTown,Excellent,88,277,1.6,Studio,3,Not included
206,King's Street Apartments,8.6,LowerTown,Excellent,222,282,0.7,Studio Apartment,3,Not included
207,Apartmani Arena Zagreb,9.2,NoviZagreb,Wonderful,234,169,5.1,One-Bedroom Apartment,3,Not included
208,Carolina,8.7,NoviZagreb,Excellent,103,188,4.6,Apartment,3,Not included
209,City Centre Dream place,9.2,LowerTown,Wonderful,382,425,0.5,Studio Apartment,4,Not included
210,Hotel Puntijar,8.9,Zagreb,Excellent,598,360,4.2,Superior Twin Room,4,Breakfast included
211,Poppy Apartments Zagreb (MINT),9.8,LowerTown,Exceptional,23,324,1.3,One-Bedroom Apartment,4,Not included
212,Studio Apartman KRILA WINGS,9.8,Zagreb,Exceptional,147,469,6.6,One-Bedroom Apartment,4,Not included
213,St. Marks Apartment 2,8.6,UpperTown–Medvescak,Excellent,108,235,0.5,Studio Apartment,4,Not included
214,Apartments Lina - Center with free parking!,8.6,LowerTown,Excellent,323,324,0.45,Studio,3,Not included
215,"Cosy&Private,30sec walk to MainSquare, Heart of Zagreb",8.4,UpperTown–Medvescak,Very Good,63,422,0.1,Deluxe Studio,3,Not included
216,Indigo Centar,9.1,LowerTown,Wonderful,341,469,0.7,Apartment with Terrace,4,Not included
217,Apartment Karlos,9.2,Zagreb,Wonderful,123,235,1.6,Studio Apartment,3,Not included
218,Novi Zagreb Dugave Studio apartman Tea,9.6,NoviZagreb,Exceptional,38,328,5.8,One-Bedroom Apartment,3,Not included
219,City Garden Studio Apartment,9.4,LowerTown,Wonderful,45,399,0.9,Studio with Garden View,3,Not included
220,St. Marks Apartment 1,9,UpperTown–Medvescak,Wonderful,162,282,0.5,Studio Apartment,4,Not included
221,Tia Apartments and Rooms,8.2,LowerTown,Very Good,394,305,0.9,Standard Twin Room,4,Not included
222,Jacuzzi studio apartman Mare's,10,Zagreb,Exceptional,152,469,8.3,One-Bedroom Apartment,4,Not included
223,Apartman ARIA,0,NoviZagreb,Not calified,0,328,6,Two-Bedroom Apartment,3,Not included
224,Like Home,10,LowerTown,Exceptional,4,317,0.6,One-Bedroom Apartment,3,Not included
225,Tesla Boutique Apartments & Rooms,9.1,LowerTown,Wonderful,568,446,0.3,Deluxe One-Bedroom Apartment,4,Not included
226,Apartments Nera,5.8,UpperTown–Medvescak,Review score,73,181,2,Comfort Double Room,2,Not included
227,Private Rooms at Hostel63,8.3,LowerTown,Very Good,481,266,0.6,Superior Twin or Double Room with Private Bathroom,0,Not included
228,Apartments Nera,5.8,UpperTown–Medvescak,Review score,73,181,2,Comfort Double Room,2,Not included
229,Private Rooms at Hostel63,8.3,LowerTown,Very Good,481,266,0.6,Superior Twin or Double Room with Private Bathroom,0,Not included
230,Flexible SelfCheckIns 9 - Zagreb - Garage - Electric vehicle ccharger - Loggia - New - Apartments Repinc 9,8.9,Zagreb,Excellent,44,404,5.7,Apartment with Balcony,3,Not included
231,STYLISH URBAN OASIS,9.3,Zagreb,Wonderful,82,338,1.7,Apartment - Ground Floor,3,Not included
232,St. Marks Apartment 2,8.6,UpperTown–Medvescak,Excellent,108,235,0.5,Studio Apartment,4,Not included
233,Charming Apartment Beautiful View,9.5,UpperTown–Medvescak,Exceptional,73,282,0.5,One-Bedroom Apartment,3,Not included
234,Leptir,8.9,Zagreb,Excellent,314,214,3,Twin Room,0,Not included
235,"Apartment-Tia, Self check-in",9.6,Zagreb,Exceptional,56,380,1.7,One-Bedroom Apartment,3,Not included
236,Premium Class Apartments III,8.5,LowerTown,Very Good,14,375,0.3,One-Bedroom Apartment,0,Not included
237,Apartments and Rooms Trsje,9,Zagreb,Wonderful,71,652,3.7,Deluxe Two-Bedroom Apartment,4,Not included
238,"APARTMENT "" Studio Green """,8.8,Zagreb,Excellent,151,177,2.4,One-Bedroom Apartment,3,Not included
239,Bianka Apartment,8,LowerTown,Very Good,209,282,0.6,Apartment - Ground Floor,3,Not included
240,Hotel Blue,8.2,Zagreb,Very Good,1857,431,2.1,Standard Triple Room Street Entrance Ground Floor,4,Not included
241,M4You,8,LowerTown,Very Good,10,328,0.6,One-Bedroom Apartment,3,Not included
242,Penthouse “Sky 16” Studio Apartment,9.5,NoviZagreb,Exceptional,67,305,4.5,Penthouse Apartment,3,Not included
243,Rooms Miki,8.4,Zagreb,Very Good,147,160,5.4,Single Room,0,Not included
244,Casa V Luxury Apartments,9.6,Zagreb,Exceptional,1135,314,3.1,Comfort Apartment,3,Not included
245,Apartment San Marco,8.5,UpperTown–Medvescak,Very Good,65,258,0.5,Apartment - Ground Floor,4,Not included
246,"Apartman ""Britanac""",8.6,UpperTown–Medvescak,Excellent,46,225,1.1,Apartment,3,Not included
247,Apartments ABA Zagreb,8.9,LowerTown,Excellent,243,282,0.9,Studio,3,Not included
248,Flower Square Apartments,7.9,LowerTown,Good,267,432,0.2,Studio,3,Not included
249,Apartment Jasna,9.8,Maksimir,Exceptional,74,305,1.8,One-Bedroom Apartment,5,Not included
250,Golden Star,9.5,LowerTown,Exceptional,54,399,0.8,Three-Bedroom Apartment,4,Not included
251,Guesthouse Lessi,8.3,UpperTown–Medvescak,Very Good,326,267,0.2,Comfort Triple Room,3,Not included
252,Tulip & Rose Zagreb Apartment,9.1,LowerTown,Wonderful,119,563,1,Studio Apartment,3,Not included
253,Octagon Main Square Apartment,9,LowerTown,Wonderful,100,282,0.2,Luxury One-Bedroom Apartment,4,Not included
254,B&B Schlosser,8.7,LowerTown,Excellent,894,430,0.5,Double Room with Private Bathroom,4,Breakfast included
