id,hotel_name,marks,city,satisfaction,reviews,price,distances,descriptions,stars,breakfast
6639,Nova Roma Guest House,7.5,CentralStation,Good,171,236,2,Double or Twin Room with Shared Bathroom,0,Not included
6640,The Guardian,8.5,CentralStation,Very Good,600,638,2,Basic Double Room,4,Breakfast included
6641,UNAHOTELS Trastevere Roma,8.9,Trastevere,Excellent,352,603,1.5,Superior Single Room,4,Not included
6642,Vite Suites Guest House,9,Spagna,Wonderful,181,720,0.8,Standard Double Room,3,Not included
6643,Domus in Viridi,7.6,Aurelio,Good,209,251,7,Double Room with Shared Bathroom,0,Breakfast included
6644,Hotel La Place Roma,8.9,Spagna,Excellent,277,1025,0.9,Classic Room,4,Not included
6645,Hotel California,7.7,CentralStation,Good,3792,496,1.4,Superior Double Room,3,Not included
6646,AngelicaHome Roma,9.5,VaticanoPrati,Exceptional,90,415,2.5,Double Room,3,Not included
6647,Sunny Guest House,7.8,Rome,Good,680,335,2.2,Twin Room,3,Not included
6648,River Chateau Hotel,8.7,TorDiQuinto,Excellent,548,615,5,Economy Double Room,4,Breakfast included
6649,Marvi Hotel,7.5,VaticanoPrati,Good,721,307,1.8,Double or Twin Room,2,Not included
6650,Little Rose Haven,8.8,VaticanoPrati,Excellent,87,857,2.2,Standard Double or Twin Room,4,Breakfast included
6651,Babuino 79,9.5,Spagna,Exceptional,595,1368,1.3,One-Bedroom Apartment - Split Level,4,Not included
6652,Hotel Il Papavero,7.2,CentralStation,Good,410,249,1.9,Single Room,1,Not included
6653,Gardenia Suite,8.9,VaticanoPrati,Excellent,277,434,3.2,Deluxe Double or Twin Room,3,Breakfast included
6654,Raeli Hotel Lux,5.3,CentralStation,Review score,169,294,2,Standard Double or Twin Room,4,Not included
6655,Suite Opera Rooms,7.2,CentralStation,Good,193,375,1.2,Double or Twin Room,3,Not included
6656,Letto e Latte Roma Guest House,8.8,SanGiovanni,Excellent,135,346,2.4,Single Room with Private Bathroom,3,Breakfast included
6657,River Luxury Suites,8.9,VaticanoPrati,Excellent,415,509,1.5,Economy Double Room,4,Not included
6658,Ada Home,9.4,VillaBorgheseParioli,Wonderful,129,523,3.1,Double Room,4,Not included
6659,B&B Home 77,8.3,Rome,Very Good,1304,547,2.4,Double Room,3,Breakfast included
6660,Rifugio degli Artisti Top,8.7,VaticanoPrati,Excellent,176,439,1.8,Double Room,4,Not included
6661,Vittoriano Luxury Suites,9.5,Pantheon,Exceptional,952,861,0.35,Junior Suite,4,Breakfast included
6662,Design 18 Charming Rooms,9.3,VaticanoPrati,Wonderful,341,473,1.4,Double Room with Private External Bathroom,4,Not included
6663,Eitch Borromini Palazzo Pamphilj,8.8,Navona,Excellent,686,982,0.9,Single Room,4,Breakfast included
6664,Guest House Vignola,9.2,VillaBorgheseParioli,Wonderful,272,297,3.3,Double Room with Private External Bathroom,3,Not included
6665,camera bella vista San Pietro,8.1,VaticanoPrati,Very Good,55,481,2.8,Large Double Room,0,Breakfast included
6666,Hotel Diplomatic,8.2,VaticanoPrati,Very Good,1356,438,1.3,Double Room - Single Use,3,Not included
6667,Il Rosso e il Blu,8.8,Trionfale,Excellent,333,345,3.1,Double Room,4,Not included
6668,Hotel Domus Mea,8.2,CentralStation,Very Good,2505,627,1.8,Single Room,3,Not included
6669,Relais Teatro Argentina,8.8,Pantheon,Excellent,250,410,0.5,Double or Twin Room,3,Not included
